state,model,best,MAE,RMSE,MAPE
Alabama,SARIMA,False,51426340.82,84364022.63,18.79
Alabama,XGBoost,False,46356344.95,67888470.6,17.5
Alabama,LSTM,True,29314955.26,70790792.97,8.22
Arizona,SARIMA,False,55076326.87,88882533.34,18.22
Arizona,XGBoost,False,57619618.69,74038753.46,20.36
Arizona,LSTM,True,28574182.11,75153728.12,6.82
Arkansas,SARIMA,False,27301225.93,43055482.93,18.59
Arkansas,XGBoost,False,30893170.97,39424284.84,22.41
Arkansas,LSTM,True,15615513.94,38074265.56,8.06
California,SARIMA,False,226334386.71,373362220.48,19.39
California,XGBoost,False,353147883.9,367293982.7,36.78
California,LSTM,True,174030903.88,346737237.27,13.01
Colorado,SARIMA,False,45048617.75,73197267.74,19.13
Colorado,XGBoost,False,72280784.54,74100095.31,37.45
Colorado,LSTM,True,33584997.02,68151999.48,12.26
Connecticut,SARIMA,False,21066041.39,35106484.26,17.43
Connecticut,XGBoost,False,26716244.69,30341939.49,25.02
Connecticut,LSTM,True,12607920.62,30916109.99,8.0
Florida,SARIMA,False,187268020.28,321792830.94,17.96
Florida,XGBoost,False,216860086.1,274706895.38,23.53
Florida,LSTM,True,118963810.34,286725811.6,8.98
Georgia,SARIMA,False,98698840.24,158660274.38,19.91
Georgia,XGBoost,False,73995583.82,131942510.7,13.75
Georgia,LSTM,True,61136319.9,144353545.74,9.46
Illinois,SARIMA,False,79352856.28,136149749.32,18.04
Illinois,XGBoost,False,111015854.11,120000599.68,30.43
Illinois,LSTM,True,64347934.43,125006361.23,13.11
Indiana,SARIMA,False,59131094.03,87586953.2,20.65
Indiana,XGBoost,False,66453725.16,75850596.53,25.51
Indiana,LSTM,True,34320577.28,80100467.97,9.09
Iowa,SARIMA,False,28372118.81,46020533.43,18.28
Iowa,XGBoost,False,47181110.01,47706314.29,36.65
Iowa,LSTM,True,19309583.0,41201380.03,10.41
Kansas,SARIMA,False,20921230.49,34762117.72,16.94
Kansas,XGBoost,False,24738796.37,28804032.3,22.62
Kansas,LSTM,True,11978827.2,29800351.62,7.43
Kentucky,SARIMA,False,43792777.32,69683911.39,19.23
Kentucky,XGBoost,False,53736328.36,60526427.04,26.6
Kentucky,LSTM,True,28182920.39,62566866.39,9.96
Louisiana,SARIMA,False,50033268.51,73356393.01,21.2
Louisiana,XGBoost,False,75256059.59,78110363.97,37.68
Louisiana,LSTM,True,26711524.21,66912005.68,8.09
Maine,SARIMA,False,13302589.47,19105325.66,22.51
Maine,XGBoost,False,13356200.5,16785603.96,24.8
Maine,LSTM,True,7319618.64,17713374.19,8.91
Maryland,SARIMA,False,42036912.22,65949908.91,19.83
Maryland,XGBoost,False,40379663.05,55229187.36,20.1
Maryland,LSTM,True,25716086.85,60369677.26,9.26
Massachusetts,SARIMA,False,45987052.9,74385410.67,18.67
Massachusetts,XGBoost,False,55934817.64,62977154.0,25.91
Massachusetts,LSTM,True,26346326.63,62183364.99,8.29
Michigan,SARIMA,False,75195645.77,120780244.03,19.66
Michigan,XGBoost,False,131619561.14,137216235.47,42.42
Michigan,LSTM,True,40361205.84,104898768.19,7.47
Minnesota,SARIMA,False,39420039.27,61887578.72,19.23
Minnesota,XGBoost,False,44204026.96,51129709.71,24.03
Minnesota,LSTM,True,21065447.41,53813643.58,7.44
Mississippi,SARIMA,False,27853737.55,52552364.73,16.07
Mississippi,XGBoost,False,28749631.76,40650478.21,18.27
Mississippi,LSTM,True,18501943.19,41118405.59,9.16
Missouri,SARIMA,False,47419402.62,76324204.06,18.22
Missouri,XGBoost,False,51091747.4,64264161.66,21.03
Missouri,LSTM,True,24237784.21,63349770.68,6.75
Nebraska,SARIMA,False,15282684.61,25589973.42,17.89
Nebraska,XGBoost,False,14451423.58,18882285.89,18.07
Nebraska,LSTM,True,8450527.84,20379552.19,7.81
Nevada,SARIMA,False,26142502.94,44977527.66,18.74
Nevada,XGBoost,False,43056589.79,43988126.5,38.53
Nevada,LSTM,True,13299173.8,35738703.21,6.8
New Hampshire,SARIMA,False,14289555.85,22457184.13,19.39
New Hampshire,XGBoost,False,16870929.1,19330741.44,25.51
New Hampshire,LSTM,True,8422933.0,20157589.61,8.68
New Mexico,SARIMA,False,18758017.67,30834172.38,19.09
New Mexico,XGBoost,False,29578475.59,31943995.75,36.31
New Mexico,LSTM,True,12054900.72,26542782.71,10.11
New York,SARIMA,False,109564170.25,174239469.53,18.96
New York,XGBoost,False,142702704.19,156272586.65,28.7
New York,LSTM,True,70026808.67,161318807.37,9.48
North Carolina,SARIMA,False,91212467.17,145368824.81,19.23
North Carolina,XGBoost,False,189941276.39,208680305.73,50.94
North Carolina,LSTM,True,47044371.28,124575136.33,7.01
Ohio,SARIMA,False,95563273.59,152993688.76,19.33
Ohio,XGBoost,False,132660107.47,146278364.9,32.31
Ohio,LSTM,True,61791138.57,137389504.25,10.07
Oklahoma,SARIMA,False,35021600.76,56732681.6,17.67
Oklahoma,XGBoost,False,41303867.39,47665555.05,23.59
Oklahoma,LSTM,True,18319117.78,49104951.15,6.61
Oregon,SARIMA,False,28267975.18,45448975.76,18.37
Oregon,XGBoost,False,50184321.39,50525001.28,39.39
Oregon,LSTM,True,17547317.3,39505469.11,9.22
Pennsylvania,SARIMA,False,91507773.8,148128940.44,18.97
Pennsylvania,XGBoost,False,66612071.03,123579102.68,12.46
Pennsylvania,LSTM,True,55746742.6,131920924.3,8.93
Rhode Island,SARIMA,False,6770534.28,9929714.19,19.93
Rhode Island,XGBoost,False,7415210.86,8437869.51,23.5
Rhode Island,LSTM,True,3199700.56,8497629.96,6.53
South Carolina,SARIMA,False,48655610.59,78059037.92,18.69
South Carolina,XGBoost,False,54159253.66,64916899.45,23.04
South Carolina,LSTM,True,24583079.14,66296607.21,6.62
South Dakota,SARIMA,False,7280235.06,11427061.98,19.35
South Dakota,XGBoost,False,10779466.88,11936648.27,34.22
South Dakota,LSTM,True,3687476.94,9604683.67,6.98
Tennessee,SARIMA,False,69902796.38,101921832.94,20.91
Tennessee,XGBoost,False,102051431.86,111469810.96,35.65
Tennessee,LSTM,True,34976226.52,90156008.9,7.35
Texas,SARIMA,False,226295518.41,381650986.47,18.54
Texas,XGBoost,False,312088134.41,351065201.75,31.09
Texas,LSTM,True,122437825.06,322087814.67,7.25
Utah,SARIMA,False,21564993.49,34647196.38,19.38
Utah,XGBoost,False,27765392.67,30885639.21,29.14
Utah,LSTM,True,13185366.01,30818280.42,9.21
Vermont,SARIMA,False,4616585.25,7259870.18,19.41
Vermont,XGBoost,False,4709968.51,5895888.72,21.34
Vermont,LSTM,True,2543682.81,6487683.45,7.71
Virginia,SARIMA,False,74069074.66,114949091.69,19.39
Virginia,XGBoost,False,102150259.61,108802299.78,31.08
Virginia,LSTM,True,40041735.45,101136365.37,7.65
Washington,SARIMA,False,48710417.24,73954020.34,19.99
Washington,XGBoost,False,77949243.3,78967218.0,37.92
Washington,LSTM,True,30108877.23,67249404.48,9.77
West Virginia,SARIMA,False,17971930.01,30183619.54,17.33
West Virginia,XGBoost,False,20417740.7,23969449.32,22.19
West Virginia,LSTM,True,10598842.77,25551521.06,8.04
Wisconsin,SARIMA,False,40013906.15,62187786.84,19.47
Wisconsin,XGBoost,False,52033790.61,56410219.13,28.74
Wisconsin,LSTM,True,21061677.5,54214382.18,7.34
Wyoming,SARIMA,False,5293113.08,8753887.74,18.67
Wyoming,XGBoost,False,9895199.09,10075833.0,43.78
Wyoming,LSTM,True,3007946.57,7619964.89,7.83
